Cluster_ID	Annotation	Gene_Name	Cav_10DC88	Cav_11DC096	Cga_08-1274-3	Cga_12-4358	Ctr_A-HAR-13
group49	AMP nucleosidase	amn	FFOKMCCD_00657	KCMFMKKO_00012	HDCLDDAM_00230	MFHLCMEF_00231	JGDJAKFF_00815
group50	hypothetical protein	--	FFOKMCCD_00666	KCMFMKKO_00004	HDCLDDAM_00238	MFHLCMEF_00239	JGDJAKFF_00804
group51	putative secretion system apparatus ATP synthase SsaN	ssaN	FFOKMCCD_00696	KCMFMKKO_00918	HDCLDDAM_00270	MFHLCMEF_00271	JGDJAKFF_00774
group52	RNA polymerase-associated protein RapA	rapA	FFOKMCCD_00706	KCMFMKKO_00909	HDCLDDAM_00279	MFHLCMEF_00280	JGDJAKFF_00765
group53	ATP-dependent Clp protease ATP-binding subunit ClpX	clpX	FFOKMCCD_00710	KCMFMKKO_00905	HDCLDDAM_00283	MFHLCMEF_00284	JGDJAKFF_00761
group54	hypothetical protein	--	FFOKMCCD_00730	KCMFMKKO_00887	HDCLDDAM_00301	MFHLCMEF_00302	JGDJAKFF_00609
group55	Threonine--tRNA ligase 2	thrZ	FFOKMCCD_00750	KCMFMKKO_00868	HDCLDDAM_00319	MFHLCMEF_00320	JGDJAKFF_00627
group56	Sporulation initiation inhibitor protein Soj	soj	FFOKMCCD_00751	KCMFMKKO_00867	HDCLDDAM_00320	MFHLCMEF_00321	JGDJAKFF_00628
group57	Protein/CP_1068/CPj0803/CpB0832	--	FFOKMCCD_00753	KCMFMKKO_00865	HDCLDDAM_00322	MFHLCMEF_00323	JGDJAKFF_00630
group58	Protein RecA	recA	FFOKMCCD_00790	KCMFMKKO_00830	HDCLDDAM_00357	MFHLCMEF_00358	JGDJAKFF_00700
group59	hypothetical protein	--	FFOKMCCD_00805	KCMFMKKO_00815	HDCLDDAM_00372	MFHLCMEF_00373	JGDJAKFF_00679
group60	hypothetical protein	--	FFOKMCCD_00809	KCMFMKKO_00811	HDCLDDAM_00376	MFHLCMEF_00377	JGDJAKFF_00684
group61	30S ribosomal protein S4	rpsD	FFOKMCCD_00819	KCMFMKKO_00802	HDCLDDAM_00385	MFHLCMEF_00386	JGDJAKFF_00674
group62	Lipopolysaccharide export system ATP-binding protein LptB	lptB	FFOKMCCD_00827	KCMFMKKO_00794	HDCLDDAM_00393	MFHLCMEF_00394	JGDJAKFF_00704
group63	hypothetical protein	--	FFOKMCCD_00843	KCMFMKKO_00779	HDCLDDAM_00408	MFHLCMEF_00409	JGDJAKFF_00719
group64	hypothetical protein	--	FFOKMCCD_00846	KCMFMKKO_00776	HDCLDDAM_00411	MFHLCMEF_00412	JGDJAKFF_00722
group65	hypothetical protein	--	FFOKMCCD_00898	KCMFMKKO_00725	HDCLDDAM_00462	MFHLCMEF_00463	JGDJAKFF_00583
group66	3'-5' exonuclease DinG	dinG_2	FFOKMCCD_00900	KCMFMKKO_00723	HDCLDDAM_00464	MFHLCMEF_00465	JGDJAKFF_00581
group67	hypothetical protein	--	FFOKMCCD_00901	KCMFMKKO_00722	HDCLDDAM_00465	MFHLCMEF_00466	JGDJAKFF_00580
group68	50S ribosomal protein L22	rplV	FFOKMCCD_00913	KCMFMKKO_00711	HDCLDDAM_00476	MFHLCMEF_00477	JGDJAKFF_00568
group69	30S ribosomal protein S3	rpsC	FFOKMCCD_00914	KCMFMKKO_00710	HDCLDDAM_00477	MFHLCMEF_00478	JGDJAKFF_00567
group70	50S ribosomal protein L18	rplR	FFOKMCCD_00923	KCMFMKKO_00701	HDCLDDAM_00486	MFHLCMEF_00487	JGDJAKFF_00558
group71	30S ribosomal protein S5	rpsE	FFOKMCCD_00924	KCMFMKKO_00700	HDCLDDAM_00487	MFHLCMEF_00488	JGDJAKFF_00557
group72	Protein translocase subunit SecY	secY	FFOKMCCD_00926	KCMFMKKO_00698	HDCLDDAM_00489	MFHLCMEF_00490	JGDJAKFF_00555
group73	hypothetical protein	--	FFOKMCCD_00982	KCMFMKKO_00642	HDCLDDAM_00548	MFHLCMEF_00549	JGDJAKFF_00498
group74	putative transcriptional regulatory protein	--	FFOKMCCD_00986	KCMFMKKO_00638	HDCLDDAM_00552	MFHLCMEF_00553	JGDJAKFF_00495
group75	30S ribosomal protein S7	rpsG	FFOKMCCD_00026	KCMFMKKO_00615	HDCLDDAM_00573	MFHLCMEF_00574	JGDJAKFF_00474
group76	30S ribosomal protein S10	rpsJ	FFOKMCCD_00028	KCMFMKKO_00613	HDCLDDAM_00575	MFHLCMEF_00576	JGDJAKFF_00472
group77	General stress protein 16O	yocK	FFOKMCCD_00045	KCMFMKKO_00596	HDCLDDAM_00594	MFHLCMEF_00595	JGDJAKFF_00439
group78	Transcriptional repressor NrdR	nrdR	FFOKMCCD_00046	KCMFMKKO_00595	HDCLDDAM_00595	MFHLCMEF_00596	JGDJAKFF_00438
group79	hypothetical protein	--	FFOKMCCD_00070	KCMFMKKO_00572	HDCLDDAM_00618	MFHLCMEF_00619	JGDJAKFF_00457
group80	Beta sliding clamp	dnaN	FFOKMCCD_00258	KCMFMKKO_00396	HDCLDDAM_00797	MFHLCMEF_00799	JGDJAKFF_00079
group81	hypothetical protein	--	FFOKMCCD_00142	KCMFMKKO_00504	HDCLDDAM_00688	MFHLCMEF_00689	JGDJAKFF_00367
group82	Protein MxiA	mxiA	FFOKMCCD_00273	KCMFMKKO_00382	HDCLDDAM_00811	MFHLCMEF_00813	JGDJAKFF_00093
group83	50S ribosomal protein L33	rpmG	FFOKMCCD_00344	KCMFMKKO_00315	HDCLDDAM_00877	MFHLCMEF_00879	JGDJAKFF_00157
group84	60 kDa chaperonin 1	groL1_1	FFOKMCCD_00427	KCMFMKKO_00234	HDCLDDAM_00015	MFHLCMEF_00015	JGDJAKFF_00115
group85	DNA-directed RNA polymerase subunit beta'	rpoC	FFOKMCCD_00476	KCMFMKKO_00187	HDCLDDAM_00061	MFHLCMEF_00061	JGDJAKFF_00333
group86	50S ribosomal protein L35	rpmI	FFOKMCCD_00558	KCMFMKKO_00108	HDCLDDAM_00140	MFHLCMEF_00140	JGDJAKFF_00903
group87	Ribonuclease G	rng	FFOKMCCD_00595	KCMFMKKO_00074	HDCLDDAM_00170	MFHLCMEF_00170	JGDJAKFF_00874
group88	30S ribosomal protein S18	rpsR	FFOKMCCD_00602	KCMFMKKO_00067	HDCLDDAM_00177	MFHLCMEF_00177	JGDJAKFF_00867
group89	Elongation factor G	fusA	FFOKMCCD_00027	KCMFMKKO_00614	HDCLDDAM_00574	MFHLCMEF_00575	JGDJAKFF_00473
group90	50S ribosomal protein L27	rpmA	FFOKMCCD_00034	KCMFMKKO_00607	HDCLDDAM_00581	MFHLCMEF_00582	JGDJAKFF_00452
group91	ATP-dependent Clp protease proteolytic subunit	clpP	FFOKMCCD_00709	KCMFMKKO_00906	HDCLDDAM_00282	MFHLCMEF_00283	JGDJAKFF_00762
group92	ATP-dependent Clp protease proteolytic subunit 1	clpP1	FFOKMCCD_00059	KCMFMKKO_00583	HDCLDDAM_00607	MFHLCMEF_00608	JGDJAKFF_00467
group93	hypothetical protein	--	FFOKMCCD_00061	KCMFMKKO_00581	HDCLDDAM_00609	MFHLCMEF_00610	JGDJAKFF_00465
group94	RNA polymerase sigma factor SigA	sigA	FFOKMCCD_00795	KCMFMKKO_00825	HDCLDDAM_00362	MFHLCMEF_00363	JGDJAKFF_00663
group95	hypothetical protein	--	FFOKMCCD_00072	KCMFMKKO_00570	HDCLDDAM_00620	MFHLCMEF_00621	JGDJAKFF_00455
group96	Chaperone protein DnaK	dnaK	FFOKMCCD_00076	KCMFMKKO_00567	HDCLDDAM_00623	MFHLCMEF_00624	JGDJAKFF_00427
group97	hypothetical protein	--	FFOKMCCD_00831	KCMFMKKO_00790	HDCLDDAM_00397	MFHLCMEF_00398	JGDJAKFF_00711
group98	putative protein CT_666	--	FFOKMCCD_00842	KCMFMKKO_00780	HDCLDDAM_00407	MFHLCMEF_00408	JGDJAKFF_00718
group99	putative ATP synthase YscN	yscN	FFOKMCCD_00845	KCMFMKKO_00777	HDCLDDAM_00410	MFHLCMEF_00411	JGDJAKFF_00721
group100	Lon protease	lon	FFOKMCCD_00140	KCMFMKKO_00506	HDCLDDAM_00686	MFHLCMEF_00687	JGDJAKFF_00369
group101	30S ribosomal protein S19	rpsS	FFOKMCCD_00912	KCMFMKKO_00712	HDCLDDAM_00475	MFHLCMEF_00476	JGDJAKFF_00569
group102	50S ribosomal protein L16	rplP	FFOKMCCD_00915	KCMFMKKO_00709	HDCLDDAM_00478	MFHLCMEF_00479	JGDJAKFF_00566
group103	30S ribosomal protein S11	rpsK	FFOKMCCD_00928	KCMFMKKO_00696	HDCLDDAM_00491	MFHLCMEF_00492	JGDJAKFF_00553
group104	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	accD	FFOKMCCD_00158	KCMFMKKO_00488	HDCLDDAM_00704	MFHLCMEF_00706	JGDJAKFF_00312
group105	Negative regulator of genetic competence ClpC/MecB	clpC	FFOKMCCD_00167	KCMFMKKO_00479	HDCLDDAM_00713	MFHLCMEF_00715	JGDJAKFF_00304
group106	Transcription termination factor Rho	rho	FFOKMCCD_00947	KCMFMKKO_00677	HDCLDDAM_00512	MFHLCMEF_00513	JGDJAKFF_00534
group107	hypothetical protein	--	FFOKMCCD_00966	KCMFMKKO_00658	HDCLDDAM_00531	MFHLCMEF_00532	JGDJAKFF_00513
group108	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	accA	FFOKMCCD_00191	KCMFMKKO_00455	HDCLDDAM_00737	MFHLCMEF_00739	JGDJAKFF_00283
group109	dCTP deaminase	dcd	FFOKMCCD_00216	KCMFMKKO_00433	HDCLDDAM_00759	MFHLCMEF_00761	JGDJAKFF_00042
group110	Transcription-repair-coupling factor	mfd	FFOKMCCD_00661	KCMFMKKO_00009	HDCLDDAM_00233	MFHLCMEF_00234	JGDJAKFF_00809
group110.1	Transcription-repair-coupling factor	mfd_1	FFOKMCCD_00660	NA	NA	NA	NA
group111	Biopolymer transport protein ExbB	exbB	FFOKMCCD_00767	KCMFMKKO_00853	HDCLDDAM_00334	MFHLCMEF_00335	JGDJAKFF_00642
group111.1	hypothetical protein	--	FFOKMCCD_00766	NA	NA	NA	NA
group112	Glutamate-1-semialdehyde 2%2C1-aminomutase	hemL	FFOKMCCD_00416	KCMFMKKO_00244	HDCLDDAM_00005	MFHLCMEF_00005	JGDJAKFF_00226
group113	hypothetical protein	--	FFOKMCCD_00417	KCMFMKKO_00243	HDCLDDAM_00006	MFHLCMEF_00006	JGDJAKFF_00227
group114	hypothetical protein	--	FFOKMCCD_00418	KCMFMKKO_00242	HDCLDDAM_00007	MFHLCMEF_00007	JGDJAKFF_00228
group115	Ribose-5-phosphate isomerase A	rpiA	FFOKMCCD_00419	KCMFMKKO_00241	HDCLDDAM_00008	MFHLCMEF_00008	JGDJAKFF_00229
group117	hypothetical protein	--	FFOKMCCD_00420	KCMFMKKO_00239	HDCLDDAM_00009	MFHLCMEF_00010	NA
group117.1	hypothetical protein	--	FFOKMCCD_00421	KCMFMKKO_00240	HDCLDDAM_00010	MFHLCMEF_00009	NA
group118	hypothetical protein	--	FFOKMCCD_00423	KCMFMKKO_00238	HDCLDDAM_00011	MFHLCMEF_00011	NA
group119	GTP cyclohydrolase 1 type 2 	--	FFOKMCCD_00424	KCMFMKKO_00237	HDCLDDAM_00012	MFHLCMEF_00012	JGDJAKFF_00113
group120	Oligoendopeptidase F%2C plasmid	pepF1	FFOKMCCD_00425	KCMFMKKO_00236	HDCLDDAM_00013	MFHLCMEF_00013	JGDJAKFF_00117
group121	10 kDa chaperonin	groS	FFOKMCCD_00426	KCMFMKKO_00235	HDCLDDAM_00014	MFHLCMEF_00014	JGDJAKFF_00116
group122	hypothetical protein	--	FFOKMCCD_00428	KCMFMKKO_00233	HDCLDDAM_00016	MFHLCMEF_00016	JGDJAKFF_00114
group123	hypothetical protein	--	FFOKMCCD_00430	KCMFMKKO_00231	HDCLDDAM_00018	MFHLCMEF_00018	JGDJAKFF_00039
group124	hypothetical protein	--	FFOKMCCD_00431	KCMFMKKO_00230	HDCLDDAM_00019	MFHLCMEF_00019	JGDJAKFF_00038
group125	Inner membrane protein YtfF	ytfF	FFOKMCCD_00432	KCMFMKKO_00229	HDCLDDAM_00020	MFHLCMEF_00020	JGDJAKFF_00037
group126	ATP-dependent RecD-like DNA helicase	recD2	FFOKMCCD_00433	KCMFMKKO_00228	HDCLDDAM_00021	MFHLCMEF_00021	JGDJAKFF_00036
group127	Methionine--tRNA ligase	metG	FFOKMCCD_00434	KCMFMKKO_00227	HDCLDDAM_00022	MFHLCMEF_00022	JGDJAKFF_00035
group128	hypothetical protein	--	FFOKMCCD_00435	KCMFMKKO_00226	HDCLDDAM_00023	MFHLCMEF_00023	JGDJAKFF_00034
group129	Guanylate kinase	gmk	FFOKMCCD_00436	KCMFMKKO_00225	HDCLDDAM_00024	MFHLCMEF_00024	JGDJAKFF_00033
group130	Ribonuclease HII	rnhB	FFOKMCCD_00437	KCMFMKKO_00224	HDCLDDAM_00025	MFHLCMEF_00025	JGDJAKFF_00032
group131	50S ribosomal protein L19	rplS	FFOKMCCD_00438	KCMFMKKO_00223	HDCLDDAM_00026	MFHLCMEF_00026	JGDJAKFF_00031
group132	hypothetical protein	--	FFOKMCCD_00236	KCMFMKKO_00415	HDCLDDAM_00778	MFHLCMEF_00780	JGDJAKFF_00061
group133	tRNA (guanine-N(1)-)-methyltransferase	trmD	FFOKMCCD_00439	KCMFMKKO_00222	HDCLDDAM_00027	MFHLCMEF_00027	JGDJAKFF_00030
group134	hypothetical protein	--	FFOKMCCD_00440	KCMFMKKO_00221	HDCLDDAM_00028	MFHLCMEF_00028	JGDJAKFF_00029
group135	Signal recognition particle protein	ffh	FFOKMCCD_00441	KCMFMKKO_00220	HDCLDDAM_00029	MFHLCMEF_00029	JGDJAKFF_00028
group136	Release factor glutamine methyltransferase	prmC	FFOKMCCD_00442	KCMFMKKO_00219	HDCLDDAM_00030	MFHLCMEF_00030	JGDJAKFF_00027
group137	Peptide chain release factor RF1	prfA	FFOKMCCD_00443	KCMFMKKO_00218	HDCLDDAM_00031	MFHLCMEF_00031	JGDJAKFF_00026
group138	hypothetical protein	--	FFOKMCCD_00445	KCMFMKKO_00216	HDCLDDAM_00033	MFHLCMEF_00033	JGDJAKFF_00024
group139	hypothetical protein	--	FFOKMCCD_00446	KCMFMKKO_00215	HDCLDDAM_00034	MFHLCMEF_00034	JGDJAKFF_00023
group140	Isoleucine--tRNA ligase	ileS	FFOKMCCD_00447	KCMFMKKO_00214	HDCLDDAM_00035	MFHLCMEF_00035	JGDJAKFF_00022
group141	hypothetical protein	--	FFOKMCCD_00449	KCMFMKKO_00212	HDCLDDAM_00037	MFHLCMEF_00037	JGDJAKFF_00020
group142	hypothetical protein	--	FFOKMCCD_00450	KCMFMKKO_00211	HDCLDDAM_00038	MFHLCMEF_00038	JGDJAKFF_00017
group143	Elongation factor 4	lepA	FFOKMCCD_00245	KCMFMKKO_00407	HDCLDDAM_00786	MFHLCMEF_00788	JGDJAKFF_00068
group144	hypothetical protein	--	FFOKMCCD_00451	KCMFMKKO_00210	HDCLDDAM_00039	MFHLCMEF_00039	JGDJAKFF_00018
group145	hypothetical protein	--	FFOKMCCD_00452	KCMFMKKO_00209	HDCLDDAM_00040	MFHLCMEF_00040	JGDJAKFF_00019
group146	Cytochrome bd-II ubiquinol oxidase subunit 2	appB	FFOKMCCD_00454	KCMFMKKO_00208	HDCLDDAM_00041	MFHLCMEF_00041	JGDJAKFF_00016
group147	Cytochrome bd-I ubiquinol oxidase subunit 1	cydA	FFOKMCCD_00455	KCMFMKKO_00207	HDCLDDAM_00042	MFHLCMEF_00042	JGDJAKFF_00015
group148	Cyclic di-AMP synthase CdaA	cdaA	FFOKMCCD_00456	KCMFMKKO_00206	HDCLDDAM_00043	MFHLCMEF_00043	JGDJAKFF_00014
group149	hypothetical protein	--	FFOKMCCD_00457	KCMFMKKO_00205	HDCLDDAM_00044	MFHLCMEF_00044	JGDJAKFF_00012
group150	Lipid A biosynthesis lauroyltransferase	lpxL	FFOKMCCD_00458	KCMFMKKO_00204	HDCLDDAM_00045	MFHLCMEF_00045	JGDJAKFF_00011
group151	Pyruvate kinase	pyk	FFOKMCCD_00460	KCMFMKKO_00202	HDCLDDAM_00046	MFHLCMEF_00046	JGDJAKFF_00356
group152	UvrABC system protein A	uvrA	FFOKMCCD_00461	KCMFMKKO_00201	HDCLDDAM_00047	MFHLCMEF_00047	JGDJAKFF_00357
group152.1	UvrABC system protein A	uvrA_2	FFOKMCCD_00462	NA	NA	NA	NA
group153	Serine/threonine-protein kinase PknD	pknD_1	FFOKMCCD_00463	KCMFMKKO_00200	HDCLDDAM_00048	MFHLCMEF_00048	JGDJAKFF_00320
group154	Valine--tRNA ligase	valS	FFOKMCCD_00464	KCMFMKKO_00199	HDCLDDAM_00049	MFHLCMEF_00049	JGDJAKFF_00321
group155	hypothetical protein	--	FFOKMCCD_00465	KCMFMKKO_00198	HDCLDDAM_00050	MFHLCMEF_00050	JGDJAKFF_00322
group156	hypothetical protein	--	FFOKMCCD_00467	KCMFMKKO_00196	HDCLDDAM_00052	MFHLCMEF_00052	JGDJAKFF_00324
group157	V-type ATP synthase subunit D	atpD	FFOKMCCD_00468	KCMFMKKO_00195	HDCLDDAM_00053	MFHLCMEF_00053	JGDJAKFF_00325
group158	V-type sodium ATPase catalytic subunit A	ntpA	FFOKMCCD_00470	KCMFMKKO_00193	HDCLDDAM_00055	MFHLCMEF_00055	JGDJAKFF_00327
group159	hypothetical protein	--	FFOKMCCD_00471	KCMFMKKO_00192	HDCLDDAM_00056	MFHLCMEF_00056	JGDJAKFF_00328
group160	V-type proton ATPase subunit E	atpE	FFOKMCCD_00472	KCMFMKKO_00191	HDCLDDAM_00057	MFHLCMEF_00057	JGDJAKFF_00329
group161	hypothetical protein	--	FFOKMCCD_00473	KCMFMKKO_00190	HDCLDDAM_00058	MFHLCMEF_00058	JGDJAKFF_00330
group162	hypothetical protein	--	FFOKMCCD_00474	KCMFMKKO_00189	HDCLDDAM_00059	MFHLCMEF_00059	JGDJAKFF_00331
group163	50S ribosomal protein L7/L12	rplL	FFOKMCCD_00478	KCMFMKKO_00185	HDCLDDAM_00063	MFHLCMEF_00063	JGDJAKFF_00335
group164	50S ribosomal protein L10	rplJ	FFOKMCCD_00479	KCMFMKKO_00184	HDCLDDAM_00064	MFHLCMEF_00064	JGDJAKFF_00336
group165	50S ribosomal protein L1	rplA	FFOKMCCD_00480	KCMFMKKO_00183	HDCLDDAM_00065	MFHLCMEF_00065	JGDJAKFF_00337
group166	hypothetical protein	--	FFOKMCCD_00483	KCMFMKKO_00180	HDCLDDAM_00068	MFHLCMEF_00068	JGDJAKFF_00340
group167	hypothetical protein	--	FFOKMCCD_00488	KCMFMKKO_00175	HDCLDDAM_00073	MFHLCMEF_00073	JGDJAKFF_00345
group168	hypothetical protein	--	FFOKMCCD_00489	KCMFMKKO_00174	HDCLDDAM_00074	MFHLCMEF_00074	JGDJAKFF_00346
group169	Biotin transporter BioY2	bioY2	FFOKMCCD_00491	KCMFMKKO_00172	HDCLDDAM_00076	MFHLCMEF_00076	JGDJAKFF_00385
group170	hypothetical protein	--	FFOKMCCD_00492	KCMFMKKO_00171	HDCLDDAM_00077	MFHLCMEF_00077	JGDJAKFF_00387
group171	hypothetical protein	--	FFOKMCCD_00493	NA	HDCLDDAM_00078	MFHLCMEF_00078	NA
group172	4-hydroxy-tetrahydrodipicolinate synthase	dapA	FFOKMCCD_00494	KCMFMKKO_00170	HDCLDDAM_00079	MFHLCMEF_00079	JGDJAKFF_00388
